workerid,stimulus,sentence,pronoun,speaker,speaker_gender,intonation,verification,speechact_choice,sp_certainty,addr_certainty,sp_authority,sp_politeness,subject_gender,subject_age,subject_ethnicity
AC0D4CQNMKFJK,married_ellen_ed_m_rise3,married,ellen,ed,Male,rise3,Alan is married,Question,2,2,31,75,Female,3,3
AC0D4CQNMKFJK,mom_eleanor_kev_m_rise1,mom,eleanor,kev,Male,rise1,Helen Nora is Annie's mom,Assertion,100,100,100,100,Female,3,3
AC0D4CQNMKFJK,beer_we_ed_m_fall,beer,we,ed,Male,fall,We should go get beer,Invitation,99,98,74,76,Female,3,3
AC0D4CQNMKFJK,obama_laura_ros_f_rise2,obama,laura,ros,Female,rise2,Laura met president Obama,Assertion,100,100,92,98,Female,3,3
AC0D4CQNMKFJK,armadillo_kev_m_rise3,armadillo,armadillo,kev,Male,rise3,Armadillos are mammals.,Assertion,98,99,98,70,Female,3,3
AC0D4CQNMKFJK,yemen_lenny_ros_f_fall,yemen,lenny,ros,Female,fall,Runi is from Yemen,Assertion,100,100,100,100,Female,3,3
AC0D4CQNMKFJK,yemen_i_ros_f_rise2,yemen,i,ros,Female,rise2,Im from Yemen,Assertion,0,16,20,98,Female,3,3
AC0D4CQNMKFJK,spaceship_maria_bon_f_fall,spaceship,maria,bon,Female,fall,Maria was in a spaceship to the moon,Assertion,99,99,99,13,Female,3,3
AYBYMDBEBK5Z,obama_laura_ed_m_rise1,obama,laura,ed,Male,rise1,Laura met President Obama,Assertion,100,100,75,86,Female,3,3
AYBYMDBEBK5Z,rain_it_ed_m_rise3,rain,it,ed,Male,rise3,It's raining,Question,7,44,0,79,Female,3,3
AYBYMDBEBK5Z,lawn_you_kev_m_rise2,lawn,you,kev,Male,rise2,You need to mow the lawn,Question,21,58,52,70,Female,3,3
AYBYMDBEBK5Z,spaceship_maria_kev_m_rise3,spaceship,maria,kev,Male,rise3,Baria was in a spaceship to the moon,Question,17,51,0,100,Female,3,3
AYBYMDBEBK5Z,married_ellen_ros_f_rise2,married,ellen,ros,Female,rise2,Ellen is married,Question,16,72,0,71,Female,3,3
AYBYMDBEBK5Z,yemen_lenny_bon_f_rise1,yemen,lenny,bon,Female,rise1,Lenny's from Yemin. ,Assertion,90,84,87,64,Female,3,3
AYBYMDBEBK5Z,yemen_you_ros_f_rise1,yemen,you,ros,Female,rise1,You're from Yemin,Question,0,53,0,20,Female,3,3
AYBYMDBEBK5Z,mom_eleanor_bon_f_fall,mom,eleanor,bon,Female,fall,Eleanor is Annie's mom. ,Assertion,100,80,100,85,Female,3,3
AUSDM3KALROGI,married_ellen_ed_m_fall,married,ellen,ed,Male,fall,Alan is married,Assertion,86,87,75,41,Female,3,6
AUSDM3KALROGI,yemen_i_ros_f_rise3,yemen,i,ros,Female,rise3,I am from Yaman,Assertion,85,81,88,78,Female,3,6
AUSDM3KALROGI,armadillo_kev_m_fall,armadillo,armadillo,kev,Male,fall,Amandelas are mammels,Assertion,81,81,86,93,Female,3,6
AUSDM3KALROGI,mom_eleanor_kev_m_rise2,mom,eleanor,kev,Male,rise2,Allen is Andy's mom,Request,87,82,75,85,Female,3,6
AUSDM3KALROGI,yemen_lenny_ros_f_rise2,yemen,lenny,ros,Female,rise2,Linus is from Yemen,Assertion,87,91,76,75,Female,3,6
AUSDM3KALROGI,beer_we_ed_m_rise1,beer,we,ed,Male,rise1,We should go get beer,Invitation,86,85,81,34,Female,3,6
AUSDM3KALROGI,spaceship_maria_bon_f_rise1,spaceship,maria,bon,Female,rise1,Marianne is a spaceship to the moon,Assertion,87,87,86,42,Female,3,6
AUSDM3KALROGI,obama_laura_ros_f_rise3,obama,laura,ros,Female,rise3,Lean met president Obama,Question,42,43,36,44,Female,3,6
A3J5KMI6V87URB,obama_laura_ed_m_rise1,obama,laura,ed,Male,rise1,WORLD MET PRESIDENT OBAMA,Assertion,38,43,32,62,Unspecified,2,3
A3J5KMI6V87URB,yemen_lenny_bon_f_rise1,yemen,lenny,bon,Female,rise1,LENNYS FROM YEMEN,Assertion,84,87,53,84,Unspecified,2,3
A3J5KMI6V87URB,married_ellen_ros_f_rise2,married,ellen,ros,Female,rise2,ALAN IS MARRIED,Question,19,21,44,68,Unspecified,2,3
A3J5KMI6V87URB,mom_eleanor_bon_f_fall,mom,eleanor,bon,Female,fall,ELANOR IS ANNIES MOM,Assertion,80,82,69,81,Unspecified,2,3
A3J5KMI6V87URB,spaceship_maria_kev_m_rise3,spaceship,maria,kev,Male,rise3,MARIA WAS IN A SPACESHIP TO THE MOON,Question,41,27,51,78,Unspecified,2,3
A3J5KMI6V87URB,yemen_you_ros_f_rise1,yemen,you,ros,Female,rise1,YOU'RE FROM YEMEN?,Question,8,17,35,80,Unspecified,2,3
A3J5KMI6V87URB,lawn_you_kev_m_rise2,lawn,you,kev,Male,rise2,YOU NEED TO MOW THE LAWN,Request,47,77,38,79,Unspecified,2,3
A3J5KMI6V87URB,rain_it_ed_m_rise3,rain,it,ed,Male,rise3,IT'S RANING,Request,29,45,55,72,Unspecified,2,3
AU6ZURVHX4KPT,mom_eleanor_bon_f_rise1,mom,eleanor,bon,Female,rise1,Eleanor is Annie's mom?,Question,0,81,25,77,Female,3,4
AU6ZURVHX4KPT,obama_laura_ed_m_rise2,obama,laura,ed,Male,rise2,Laura met President obama?,Question,59,91,57,50,Female,3,4
AU6ZURVHX4KPT,spaceship_maria_kev_m_fall,spaceship,maria,kev,Male,fall,Maria was in a spaceship to the moon.,Assertion,87,26,87,20,Female,3,4
AU6ZURVHX4KPT,yemen_you_ros_f_fall,yemen,you,ros,Female,fall,You're from Yemen.,Assertion,100,50,56,50,Female,3,4
AU6ZURVHX4KPT,rain_it_ed_m_fall,rain,it,ed,Male,fall,It's raining.,Assertion,100,48,52,49,Female,3,4
AU6ZURVHX4KPT,yemen_lenny_bon_f_rise2,yemen,lenny,bon,Female,rise2,Lenny's from Yemen?,Question,46,100,49,67,Female,3,4
