workerid,global_comments,gender,age,race,region,regionComments,sentence,speaker,sgender,intonation,verification,speechactchoice,spcertainty,adcertainty,authority,politeness,comment1,comment2
A28SYXQL3YOKVL,,gen=2,age=2,eth=3,south,,married,aar,m,rise2,Ellen is married.,response=1,48,49,39,99,,
A28SYXQL3YOKVL,,gen=2,age=2,eth=3,south,,mom,kev,m,qrise,Is Eleanor Annie's mom?,response=2,0,0,37,78,,
A28SYXQL3YOKVL,,gen=2,age=2,eth=3,south,,obama,ros,f,fall,Laura met president Obama,response=1,94,85,93,49,,
A28SYXQL3YOKVL,,gen=2,age=2,eth=3,south,,yemen,ros,f,rise1,Lenny is from Yemen,response=1,32,38,26,61,,
A28SYXQL3YOKVL,,gen=2,age=2,eth=3,south,,spaceship,bon,f,rise3,Maria was in a spaceship to the moon,response=1,96,95,91,73,,
A3IM2BFRBRW80J,,gen=1,age=3,eth=3,South,,married,bon,f,rise2,Ellen is married,response=1,61,19,38,55,,
A3IM2BFRBRW80J,,gen=1,age=3,eth=3,South,,yemen,aar,m,rise1,Lenny's from Yeoman,response=1,96,41,84,82,,
A3IM2BFRBRW80J,,gen=1,age=3,eth=3,South,,spaceship,kev,m,rise3,Maria was in a spaceship to the moon,response=2,25,71,64,62,,
A3IM2BFRBRW80J,,gen=1,age=3,eth=3,South,,mom,ros,f,qrise,Is Elenor Andy's mom,response=2,12,65,34,63,,
A3IM2BFRBRW80J,,gen=1,age=3,eth=3,South,,obama,aar,m,fall,Laura met President Obama,response=1,97,38,100,85,,
AS1KP4SMNONQC,no,gen=1,age=2,eth=3,midwest,no,obama,aar,m,rise2,Laura met President Obama?,response=2,45,57,60,57,,
AS1KP4SMNONQC,no,gen=1,age=2,eth=3,midwest,no,married,bon,f,qrise,Is Olan married?,response=2,44,59,56,79,,
AS1KP4SMNONQC,no,gen=1,age=2,eth=3,midwest,no,yemen,aar,m,rise3,Lenny's from Yemen?,response=2,43,61,62,81,,
AS1KP4SMNONQC,no,gen=1,age=2,eth=3,midwest,no,mom,ros,f,rise1,Eleanor is Annie's mom.,response=1,76,73,76,80,,
AS1KP4SMNONQC,no,gen=1,age=2,eth=3,midwest,no,spaceship,kev,m,fall,Maria was in a spaceship to the moon.,response=1,87,68,88,78,,
A2G1JEROJ5ZM8U,none,gen=2,age=3,eth=3,Pennsylvania,none,obama,aar,m,fall,Laura met President Obama.,response=1,88,79,87,51,,
A2G1JEROJ5ZM8U,none,gen=2,age=3,eth=3,Pennsylvania,none,yemen,aar,m,rise1,Lenny's from Yemen.,response=1,61,64,44,58,,
A2G1JEROJ5ZM8U,none,gen=2,age=3,eth=3,Pennsylvania,none,married,bon,f,rise2,Ellen is married,response=2,11,25,8,64,,
A2G1JEROJ5ZM8U,none,gen=2,age=3,eth=3,Pennsylvania,none,mom,ros,f,qrise,Is Eleanor Annie's mom,response=2,0,0,29,69,,
A2G1JEROJ5ZM8U,none,gen=2,age=3,eth=3,Pennsylvania,none,spaceship,kev,m,rise3,Maria was in a spaceship to the moon,response=2,0,0,36,92,,
A3BOY7SUI425MK,,gen=1,age=1,eth=3,pa,,spaceship,bon,f,rise3,Are you the next patient?,response=2,0,0,69,83,,
A3BOY7SUI425MK,,gen=1,age=1,eth=3,pa,,mom,kev,m,qrise,Is Ellen Arnie's mom?,response=2,60,99,36,93,,
A3BOY7SUI425MK,,gen=1,age=1,eth=3,pa,,yemen,ros,f,rise1,My Niece from Yamin.,response=1,100,77,41,89,,
A3BOY7SUI425MK,,gen=1,age=1,eth=3,pa,,married,aar,m,rise2,Ellen is married.,response=1,100,42,85,70,,
A3BOY7SUI425MK,,gen=1,age=1,eth=3,pa,,obama,ros,f,fall,Lauren met President Obama.,response=1,100,63,92,85,,
A1YZW8O96ACFET,n/a,gen=1,age=3,eth=3,midwest,n/a,mom,kev,m,fall,no one knows where is Andy's mom,response=1,61,61,31,38,no,no
A1YZW8O96ACFET,n/a,gen=1,age=3,eth=3,midwest,n/a,married,aar,m,rise3,Ellen is married?,response=2,99,18,13,51,no,no
A1YZW8O96ACFET,n/a,gen=1,age=3,eth=3,midwest,n/a,obama,ros,f,rise1,Laura met president Obama.,response=2,39,63,33,59,,
A1YZW8O96ACFET,n/a,gen=1,age=3,eth=3,midwest,n/a,spaceship,bon,f,qrise,Was Maria in a spaceship to the moon?,response=2,32,74,30,69,,
A1YZW8O96ACFET,n/a,gen=1,age=3,eth=3,midwest,n/a,yemen,ros,f,rise2,Lenny's from Yemen?,response=2,34,59,30,61,,
AU3FJ067IEQF,No,gen=2,age=1,eth=2,California,No,married,bon,f,rise3,Ellen is married?,response=2,41,38,50,51,No,No
AU3FJ067IEQF,No,gen=2,age=1,eth=2,California,No,spaceship,kev,m,qrise,Was Maria in a spaceship to the moon?,response=2,31,25,56,48,No,No
AU3FJ067IEQF,No,gen=2,age=1,eth=2,California,No,mom,ros,f,fall,Elenor is Andy's Mom,response=1,69,71,66,49,No,No
AU3FJ067IEQF,No,gen=2,age=1,eth=2,California,No,yemen,aar,m,rise2,Lenny's from Yemen?,response=2,38,37,40,50,No,No
AU3FJ067IEQF,No,gen=2,age=1,eth=2,California,No,obama,aar,m,rise1,Laura met President Obama.,response=1,58,56,56,50,No,No
A2V4PRG5UBNIX0,,gen=1,age=3,eth=3,AR,,yemen,aar,m,rise1,Many from Yemen,response=1,13,59,58,59,,
A2V4PRG5UBNIX0,,gen=1,age=3,eth=3,AR,,mom,ros,f,qrise,Is Elenor and his mom,response=2,10,61,37,55,,
A2V4PRG5UBNIX0,,gen=1,age=3,eth=3,AR,,spaceship,kev,m,rise3,Real were going to take it to the moon?,response=2,4,26,71,38,,
A2V4PRG5UBNIX0,,gen=1,age=3,eth=3,AR,,obama,aar,m,fall,Lauren that's President Obama,response=1,69,90,77,57,,
A2V4PRG5UBNIX0,,gen=1,age=3,eth=3,AR,,married,bon,f,rise2,Ellen and Mary,response=2,35,21,29,72,,
A17MCFC81SHAEW,no,gen=1,age=2,eth=3,CA,no,yemen,ros,f,qrise,is lenny from  yamen,response=2,20,20,25,75,no,no
A17MCFC81SHAEW,no,gen=1,age=2,eth=3,CA,no,spaceship,bon,f,rise1,maria was in a spaceship to the moon,response=1,84,31,74,79,no,no
