workerid,global_comments,gender,age,race,region,regionComments,sentence,speaker,sgender,intonation,verification,ohyeschoice,spcertainty,adcertainty,authority,politeness,comment1,comment2
A21EZISIJ3JPSW,Thanks!,gen=2,age=2,eth=3,Illinois,Thanks!,obama,aar,m,rise2,Laura met President Obama. ,response=2,26,33,30,69,,
A21EZISIJ3JPSW,Thanks!,gen=2,age=2,eth=3,Illinois,Thanks!,yemen,aar,m,rise3,Lenny's from Yemin.,response=1,81,83,87,79,Lenny's from Yemin.,
A21EZISIJ3JPSW,Thanks!,gen=2,age=2,eth=3,Illinois,Thanks!,spaceship,kev,m,fall,Maria was in a spaceship to the moon.,response=1,61,68,69,85,,
A21EZISIJ3JPSW,Thanks!,gen=2,age=2,eth=3,Illinois,Thanks!,married,bon,f,qrise,Is Owen married?,response=1,23,8,19,79,Is Owen married?,
A21EZISIJ3JPSW,Thanks!,gen=2,age=2,eth=3,Illinois,Thanks!,mom,ros,f,rise1,Ellenore is Abby's mom. ,response=2,83,80,82,21,Ellenore is Abby's mom. ,
A2AXOTU8SGDNRJ,No,gen=1,age=1,eth=3,NorthEast,No,yemen,aar,m,fall,Lenny's from Yemen,response=1,80,70,69,76,No,No
A2AXOTU8SGDNRJ,No,gen=1,age=1,eth=3,NorthEast,No,spaceship,kev,m,rise2,Breo was in a spaceship to the moon,response=2,27,32,37,80,No,No
A2AXOTU8SGDNRJ,No,gen=1,age=1,eth=3,NorthEast,No,mom,ros,f,rise3,Eleanor is Andy's Mom,response=1,66,69,36,69,No,No
A2AXOTU8SGDNRJ,No,gen=1,age=1,eth=3,NorthEast,No,married,bon,f,rise1,Ellen is married,response=2,34,70,39,62,No,No
A2AXOTU8SGDNRJ,No,gen=1,age=1,eth=3,NorthEast,No,obama,aar,m,qrise,Did Laura meet President Obama?,response=2,26,65,32,71,No,No
ACDHVB6HXTX0C,None interesting survey! I enjoyed it!,gen=1,age=1,eth=3,Pacific Northwest,None interesting survey! I enjoyed it!,married,aar,m,rise1,Ellen is married.,response=2,8,90,0,53,None,None that came to mind.
ACDHVB6HXTX0C,None interesting survey! I enjoyed it!,gen=1,age=1,eth=3,Pacific Northwest,None interesting survey! I enjoyed it!,yemen,ros,f,fall,Lennies from yemmen.,response=1,100,2,100,0,Hard to understand what they said.,Seemed rude and short.
ACDHVB6HXTX0C,None interesting survey! I enjoyed it!,gen=1,age=1,eth=3,Pacific Northwest,None interesting survey! I enjoyed it!,mom,kev,m,rise3,Elenore is Andy's mom.,response=2,0,100,0,85,,
ACDHVB6HXTX0C,None interesting survey! I enjoyed it!,gen=1,age=1,eth=3,Pacific Northwest,None interesting survey! I enjoyed it!,obama,ros,f,qrise,Did Laura meet President Obama?,response=2,0,100,0,72,,
ACDHVB6HXTX0C,None interesting survey! I enjoyed it!,gen=1,age=1,eth=3,Pacific Northwest,None interesting survey! I enjoyed it!,spaceship,bon,f,rise2,Maria was in a spaceship to the moon?,response=2,0,100,0,61,,
A2OI1XGFB9E8ZZ,Thank you,gen=1,age=3,eth=3,Chicago,Thank you,obama,ros,f,rise3,Laura met President Obama?,response=2,8,80,16,55,no,female knows Laura
A2OI1XGFB9E8ZZ,Thank you,gen=1,age=3,eth=3,Chicago,Thank you,spaceship,bon,f,rise1,Maria was in a spaceship to the moon?,response=2,14,74,15,54,no,female knows Maria
A2OI1XGFB9E8ZZ,Thank you,gen=1,age=3,eth=3,Chicago,Thank you,married,aar,m,fall,Ellen is married.,response=1,90,39,79,62,no,He knows Ellen male
A2OI1XGFB9E8ZZ,Thank you,gen=1,age=3,eth=3,Chicago,Thank you,yemen,ros,f,qrise,IsLenny from Yemen?,response=2,7,81,11,36,no,female knows about Yemen
A2OI1XGFB9E8ZZ,Thank you,gen=1,age=3,eth=3,Chicago,Thank you,mom,kev,m,rise2,Eleanor is Andy's mom?,response=2,10,75,12,68,no,male knows Annie
A20KCGC5OGLHO0,,gen=1,age=4,eth=3,northeast,,married,aar,m,qrise,is ellen married,response=2,0,0,33,85,,
A20KCGC5OGLHO0,,gen=1,age=4,eth=3,northeast,,obama,ros,f,rise2,laura met president obama,response=1,100,100,100,56,,
A20KCGC5OGLHO0,,gen=1,age=4,eth=3,northeast,,mom,kev,m,rise1,eleanor is annies mom,response=1,100,49,83,63,,
A20KCGC5OGLHO0,,gen=1,age=4,eth=3,northeast,,spaceship,bon,f,fall,maria was in a spaceship to the moon,response=1,100,34,100,67,,
A20KCGC5OGLHO0,,gen=1,age=4,eth=3,northeast,,yemen,ros,f,rise3,monies from yemen,response=1,81,36,67,62,,
A2N5Y21ZYXCWTX,,gen=2,age=1,eth=3,Ohio,,obama,ros,f,fall,Laura met president Obama,response=2,78,77,30,32,,
A2N5Y21ZYXCWTX,,gen=2,age=1,eth=3,Ohio,,married,aar,m,rise2,Ellen is married,response=1,37,32,35,67,,
A2N5Y21ZYXCWTX,,gen=2,age=1,eth=3,Ohio,,spaceship,bon,f,rise3,Maria was in a spaceship to the moon,response=1,38,42,34,64,,
A2N5Y21ZYXCWTX,,gen=2,age=1,eth=3,Ohio,,yemen,ros,f,rise1,Laniece from yamun,response=2,44,58,42,56,,
A2N5Y21ZYXCWTX,,gen=2,age=1,eth=3,Ohio,,mom,kev,m,qrise,Is Ellen Lenny's mom,response=1,58,39,57,41,,
A2CE4WEKKBNTLQ,,gen=1,age=2,eth=3,Arizona,,spaceship,kev,m,rise3,Maria was in a space ship to the moon.,response=2,22,90,24,73,no,Sounded like he was asking a question.
A2CE4WEKKBNTLQ,,gen=1,age=2,eth=3,Arizona,,married,bon,f,rise2,Elin is married?,response=2,20,78,27,67,,
A2CE4WEKKBNTLQ,,gen=1,age=2,eth=3,Arizona,,yemen,aar,m,rise1,Lenny's from yemen?,response=2,17,73,28,63,,
A2CE4WEKKBNTLQ,,gen=1,age=2,eth=3,Arizona,,obama,aar,m,fall,Laura met president Obama.,response=1,84,26,77,61,,
A2CE4WEKKBNTLQ,,gen=1,age=2,eth=3,Arizona,,mom,ros,f,qrise,Is Elinore Annies mom?,response=2,3,39,39,62,,
A3IB7YJHP04OHI,no,gen=1,age=5,eth=3,Ohio,no,mom,kev,m,fall,Elenore's Andy's mom,response=1,55,6,25,42,It sounded like he said Elanore's Andys mom,
A3IB7YJHP04OHI,no,gen=1,age=5,eth=3,Ohio,no,obama,ros,f,rise1,Lora met President Obama,response=2,17,13,28,41,,
A3IB7YJHP04OHI,no,gen=1,age=5,eth=3,Ohio,no,spaceship,bon,f,qrise,Was Maria in a spaceship to the moon?,response=2,17,31,39,46,,
A3IB7YJHP04OHI,no,gen=1,age=5,eth=3,Ohio,no,yemen,ros,f,rise2,Onaise perm yemmon,response=1,33,39,37,40,,
A3IB7YJHP04OHI,no,gen=1,age=5,eth=3,Ohio,no,married,aar,m,rise3,Ellen is married.,response=2,29,36,32,42,,
A32QYANWMXW8EL,,gen=1,age=2,eth=1,Texas,,yemen,aar,m,rise1,Lenny's  from Yemen.,response=2,87,25,74,25,,
A32QYANWMXW8EL,,gen=1,age=2,eth=1,Texas,,mom,ros,f,qrise,Is Eleanor Annie's mom?,response=2,23,70,27,81,,
A32QYANWMXW8EL,,gen=1,age=2,eth=1,Texas,,obama,aar,m,fall,Laura met President Obama.,response=1,95,56,33,12,,
A32QYANWMXW8EL,,gen=1,age=2,eth=1,Texas,,spaceship,kev,m,rise3,Maria was in a spaceship to the moon.,response=2,8,34,67,92,,
A32QYANWMXW8EL,,gen=1,age=2,eth=1,Texas,,married,bon,f,rise2,Ellen is married?,response=2,8,70,19,89,,
A20I5R5OEJJSBC,,gen=1,age=2,eth=3,northeast,,spaceship,bon,f,qrise,Was Maria in a space ship to the moon? ,response=2,0,95,18,81,,
A20I5R5OEJJSBC,,gen=1,age=2,eth=3,northeast,,obama,ros,f,rise1,Laura met President Obama,response=1,66,33,39,76,,
A20I5R5OEJJSBC,,gen=1,age=2,eth=3,northeast,,married,aar,m,rise3,Ellen is married,response=2,12,75,37,63,,
A20I5R5OEJJSBC,,gen=1,age=2,eth=3,northeast,,yemen,ros,f,rise2,Lenny's from Yemen,response=1,65,44,40,69,,
A20I5R5OEJJSBC,,gen=1,age=2,eth=3,northeast,,mom,kev,m,fall,Eleanor is Annie's mom,response=1,100,25,100,73,,
A2FC76I9VL80IC,Good survey.,gen=1,age=1,eth=3,Georgia ,Good survey.,mom,ros,f,qrise,Is Eleneaor Andy's mom?,response=2,0,100,84,99,,
A2FC76I9VL80IC,Good survey.,gen=1,age=1,eth=3,Georgia ,Good survey.,spaceship,kev,m,rise3,Rio was in a spaceship to the moon.,response=1,87,13,57,89,,
A2FC76I9VL80IC,Good survey.,gen=1,age=1,eth=3,Georgia ,Good survey.,married,bon,f,rise2,Ellen is married.,response=2,12,92,63,85,,
A2FC76I9VL80IC,Good survey.,gen=1,age=1,eth=3,Georgia ,Good survey.,obama,aar,m,fall,Laura met President Obama.,response=1,40,16,10,26,,
A2FC76I9VL80IC,Good survey.,gen=1,age=1,eth=3,Georgia ,Good survey.,yemen,aar,m,rise1,Lenny's from Umman.,response=2,19,63,5,80,,
ARHBT4K14I7U,no,gen=1,age=3,eth=3,south,no,mom,ros,f,qrise,Is Elenor Annie's mom?,response=2,0,49,24,78,na,na
ARHBT4K14I7U,no,gen=1,age=3,eth=3,south,no,spaceship,kev,m,rise3,Brea was in a spaceship to the moon,response=2,24,29,24,80,I thought it was Brea not Maria,na
ARHBT4K14I7U,no,gen=1,age=3,eth=3,south,no,married,bon,f,rise2,Ellen is married?,response=2,36,87,26,58,no,na
ARHBT4K14I7U,no,gen=1,age=3,eth=3,south,no,yemen,aar,m,rise1,Lenny's from Yemin,response=1,79,27,70,57,no,na
ARHBT4K14I7U,no,gen=1,age=3,eth=3,south,no,obama,aar,m,fall,Laura met president Obama,response=1,91,28,65,63,no,na
A25ACTZSEDGERQ,,gen=1,age=1,eth=3,NorthEast,,obama,aar,m,qrise,Did Lauren beat President Obama?,response=2,63,58,66,94,Did Lauren meet President Obama,
A25ACTZSEDGERQ,,gen=1,age=1,eth=3,NorthEast,,spaceship,kev,m,rise2,Rio was in a spaceship to the moon.,response=1,61,63,61,64,Maria was in a spaceship to the moon,
A25ACTZSEDGERQ,,gen=1,age=1,eth=3,NorthEast,,yemen,aar,m,fall,Lenny's from Yumin,response=1,64,64,64,71,,
A25ACTZSEDGERQ,,gen=1,age=1,eth=3,NorthEast,,married,bon,f,rise1,Helen is married,response=2,75,75,75,75,,
A25ACTZSEDGERQ,,gen=1,age=1,eth=3,NorthEast,,mom,ros,f,rise3,Elanor is Annie's mom,response=2,88,88,88,88,,
A1LXYKU5LYGAPB,,gen=1,age=3,eth=5,south east,,mom,ros,f,qrise,Is Elanor Annie's mom?,response=2,28,61,41,68,,
A1LXYKU5LYGAPB,,gen=1,age=3,eth=5,south east,,married,bon,f,rise2,Ellen is married?,response=2,31,38,36,71,,
A1LXYKU5LYGAPB,,gen=1,age=3,eth=5,south east,,spaceship,kev,m,rise3,Rio is in a space ship to the moon.,response=1,82,37,70,39,,
A1LXYKU5LYGAPB,,gen=1,age=3,eth=5,south east,,obama,aar,m,fall,Lauren met President Obama.,response=1,79,33,86,29,,
A1LXYKU5LYGAPB,,gen=1,age=3,eth=5,south east,,yemen,aar,m,rise1,My niece from Yemen.,response=1,79,67,64,34,,
A3MFK5UEUG95M3,,gen=2,age=2,eth=3,New York,,mom,kev,m,rise1,consult the hymn book,response=2,87,24,27,23,,
A3MFK5UEUG95M3,,gen=2,age=2,eth=3,New York,,spaceship,bon,f,fall,maria was in a spaceship to the moon,response=1,85,88,83,74,,
A3MFK5UEUG95M3,,gen=2,age=2,eth=3,New York,,obama,ros,f,rise2,Laura met president Obama?,response=2,23,29,44,93,,
A3MFK5UEUG95M3,,gen=2,age=2,eth=3,New York,,yemen,ros,f,rise3,Lenny's from Yemen?,response=2,9,24,33,89,,
